date,time,no2Value,longitude,latitude,regionName
01-01-2019,07:03:33,1.72E-04,77.125,28.775,North
02-01-2019,06:44:33,2.77E-04,77.125,28.775,North
03-01-2019,06:25:32,1.15E-04,77.125,28.775,North
03-01-2019,08:07:02,1.33E-04,77.125,28.775,North
04-01-2019,07:48:02,2.61E-04,77.125,28.775,North
05-01-2019,07:29:02,2.57E-04,77.125,28.775,North
06-01-2019,07:10:03,7.69E-05,77.125,28.775,North
07-01-2019,06:51:02,1.53E-04,77.125,28.775,North
08-01-2019,06:32:02,1.74E-04,77.125,28.775,North
08-01-2019,08:13:34,8.77E-05,77.125,28.775,North
09-01-2019,07:54:34,9.15E-05,77.125,28.775,North
10-01-2019,07:35:35,1.33E-04,77.125,28.775,North
11-01-2019,07:16:34,2.95E-04,77.125,28.775,North
12-01-2019,06:57:35,0.001477424,77.125,28.775,North
13-01-2019,06:38:36,2.96E-04,77.125,28.775,North
14-01-2019,08:01:07,9.54E-05,77.125,28.775,North
15-01-2019,07:42:10,1.79E-04,77.125,28.775,North
16-01-2019,07:23:11,0.001131791,77.125,28.775,North
17-01-2019,07:04:12,2.57E-04,77.125,28.775,North
18-01-2019,06:45:13,1.49E-04,77.125,28.775,North
19-01-2019,06:26:14,2.20E-04,77.125,28.775,North
19-01-2019,08:07:46,2.11E-04,77.125,28.775,North
20-01-2019,07:48:47,3.44E-04,77.125,28.775,North
21-01-2019,07:29:49,1.17E-04,77.125,28.775,North
22-01-2019,07:10:51,9.45E-05,77.125,28.775,North
23-01-2019,06:51:52,1.56E-04,77.125,28.775,North
24-01-2019,06:32:56,1.22E-04,77.125,28.775,North
24-01-2019,08:14:26,1.85E-04,77.125,28.775,North
25-01-2019,07:55:28,1.57E-04,77.125,28.775,North
26-01-2019,07:36:30,1.06E-04,77.125,28.775,North
27-01-2019,07:17:32,1.05E-04,77.125,28.775,North
28-01-2019,06:58:35,1.18E-04,77.125,28.775,North
29-01-2019,06:39:37,1.85E-04,77.125,28.775,North
30-01-2019,08:02:11,1.89E-04,77.125,28.775,North
31-01-2019,07:43:14,3.07E-04,77.125,28.775,North
01-02-2019,07:24:17,5.27E-04,77.125,28.775,North
02-02-2019,07:05:20,1.16E-04,77.125,28.775,North
03-02-2019,06:46:23,9.04E-05,77.125,28.775,North
04-02-2019,06:27:26,1.41E-04,77.125,28.775,North
04-02-2019,08:08:56,1.42E-04,77.125,28.775,North
05-02-2019,07:50:00,4.79E-04,77.125,28.775,North
06-02-2019,07:31:03,1.85E-04,77.125,28.775,North
07-02-2019,07:12:06,1.38E-04,77.125,28.775,North
08-02-2019,06:53:09,1.22E-04,77.125,28.775,North
09-02-2019,06:34:13,9.72E-05,77.125,28.775,North
09-02-2019,08:15:44,1.02E-04,77.125,28.775,North
10-02-2019,07:56:48,7.81E-05,77.125,28.775,North
11-02-2019,07:37:51,1.91E-04,77.125,28.775,North
12-02-2019,07:18:55,7.94E-04,77.125,28.775,North
14-02-2019,06:41:03,7.27E-05,77.125,28.775,North
15-02-2019,08:03:37,2.64E-04,77.125,28.775,North
16-02-2019,07:44:41,9.05E-05,77.125,28.775,North
17-02-2019,07:25:45,7.40E-05,77.125,28.775,North
18-02-2019,07:06:49,1.57E-04,77.125,28.775,North
19-02-2019,06:47:53,3.83E-04,77.125,28.775,North
20-02-2019,06:28:57,5.65E-05,77.125,28.775,North
20-02-2019,08:10:28,6.99E-05,77.125,28.775,North
21-02-2019,07:51:32,2.21E-04,77.125,28.775,North
22-02-2019,07:32:37,8.17E-05,77.125,28.775,North
23-02-2019,07:13:42,1.01E-04,77.125,28.775,North
24-02-2019,06:54:46,1.14E-04,77.125,28.775,North
25-02-2019,06:35:50,2.66E-04,77.125,28.775,North
25-02-2019,08:17:21,3.54E-04,77.125,28.775,North
26-02-2019,07:58:25,1.27E-04,77.125,28.775,North
27-02-2019,07:39:30,1.07E-04,77.125,28.775,North
28-02-2019,07:20:34,9.56E-05,77.125,28.775,North
01-03-2019,07:01:39,1.20E-04,77.125,28.775,North
02-03-2019,06:42:44,1.41E-04,77.125,28.775,North
03-03-2019,08:05:19,1.88E-04,77.125,28.775,North
04-03-2019,07:46:24,7.41E-05,77.125,28.775,North
05-03-2019,07:27:28,1.19E-04,77.125,28.775,North
06-03-2019,07:08:33,1.02E-04,77.125,28.775,North
07-03-2019,06:49:38,1.11E-04,77.125,28.775,North
08-03-2019,06:30:43,1.40E-04,77.125,28.775,North
08-03-2019,08:12:13,9.80E-05,77.125,28.775,North
09-03-2019,08:18:29,8.40E-05,77.125,28.775,North
10-03-2019,07:34:23,1.18E-04,77.125,28.775,North
11-03-2019,07:15:28,1.80E-04,77.125,28.775,North
12-03-2019,06:56:33,9.81E-05,77.125,28.775,North
13-03-2019,06:37:38,9.36E-05,77.125,28.775,North
13-03-2019,08:19:09,1.72E-04,77.125,28.775,North
14-03-2019,08:00:13,6.03E-05,77.125,28.775,North
15-03-2019,07:41:18,8.99E-05,77.125,28.775,North
16-03-2019,07:22:23,1.14E-04,77.125,28.775,North
17-03-2019,07:03:28,1.12E-04,77.125,28.775,North
18-03-2019,06:44:34,1.11E-04,77.125,28.775,North
19-03-2019,08:07:09,1.08E-04,77.125,28.775,North
20-03-2019,07:48:14,1.61E-04,77.125,28.775,North
21-03-2019,07:29:19,9.21E-05,77.125,28.775,North
